country_code,year,coal_electricity_pct,energy_use_per_capita,gdp_constant_usd,gdp_per_capita_constant,renewable_electricity_pct,renewable_final_energy_pct
RUS,2018,15.9548127375923,5259.90837585133,1430116278515.49,9674.787109375,0.202496114673843,3.2
RUS,2019,16.7864772998827,5065.14820867318,1461551317106.21,9882.0244140625,0.268245337461168,3.2
RUS,2020,16.154935406872,5044.85366917672,1422766794794.99,9632.3251953125,0.401953991448764,3.7
RUS,2021,16.155633525844,5681.39248037781,1506233291759.56,10231.318359375,0.490596127705673,3.5
RUS,2022,16.2940698689577,5601.08435085175,1484605556957.56,10119.0625,,
RUS,2023,,,1545214947189.49,10562.0263671875,,
RUS,2024,,,1612344875264.36,11043.259765625,,
SAU,2015,0.0,7786.91651664863,693414400000.0,23256.1549553531,0.0127345044562439,0.0
SAU,2016,0.0,7521.58911581712,705230509999.152,22783.0328538685,0.0124340423917374,0.0
SAU,2017,0.0,7707.05632967392,713567089638.542,23035.1199977707,0.0184114400771668,0.0
SAU,2018,0.0,7650.66372475004,736593549189.516,24393.5188306638,0.0562269019434493,0.0
SAU,2019,0.0,7668.22165933444,748759049109.6,24905.6697428558,0.0688617116501273,0.0
SAU,2020,0.0,7170.88694947248,720270347023.097,22827.671935548,0.0676715363808973,0.1
SAU,2021,0.0,7465.87573152761,767229070838.89,24922.6716948944,0.0653198949792136,0.1
SAU,2022,,7529.60103058863,859301066620.788,26706.917926066,,
SAU,2023,,,863963569239.897,25634.8237547841,,
SAU,2024,,,881212616884.024,24963.3322139095,,
TUR,2015,29.0950902083023,1646.83631130339,865460050683.656,11064.6494504662,6.30874808524618,13.3
TUR,2016,33.6262062330544,1724.54363987712,894225044186.927,11279.6169531569,8.38776566280866,13.2
TUR,2017,32.7896204549965,1828.02986770908,964205820086.089,12005.6459824832,9.76210403092066,11.4
TUR,2018,37.1547337443119,1771.33742856964,997645953748.995,12255.0082146169,12.4123575710053,11.8
TUR,2019,37.1487708006331,1774.19625722275,1010631549472.6,12238.2950220128,14.2949255833391,14.1
TUR,2020,34.4998255641451,1762.01062220058,1028853867659.94,12338.643833135,16.3852782659446,13.7
TUR,2021,30.8858369457731,1894.62719281739,1150372769727.98,13670.938029516,18.7108026636951,12.0
TUR,2022,34.3746098258415,1841.55630679263,1212967141770.11,14273.5747654873,,
TUR,2023,35.9537125394084,1849.53592344542,1274162834489.99,14932.8851363122,,
TUR,2024,,,1316562171166.78,15395.0278894893,,
USA,2015,34.0732643852126,6789.64733291075,18206020741000.0,56572.9188996063,7.35254388360494,8.9
USA,2016,31.3286000724658,6663.4963294418,18537270454435.6,57151.4708448372,8.50075843849591,9.3
USA,2017,30.827999443826,6590.83509745633,18992846546661.7,58151.7021391854,9.700691811457,9.7
USA,2018,28.5527483493205,6738.27272433986,19556270302218.3,59526.665698712,10.0478956277699,9.9
USA,2019,24.3530384173999,6700.93033990565,20061570168697.6,60750.9898621637,10.8666213545367,10.2
USA,2020,20.0882948834085,6141.53125755889,19627632559934.5,59194.6665172031,12.6817482828225,11.0
USA,2021,22.6659071437519,6445.83409243358,20816096100824.5,62680.2503585805,14.0077934914494,10.9
USA,2022,20.3164902183759,6511.68841394546,21339074561820.0,63886.1317069841,,
USA,2023,16.6638854819688,6363.50015820072,21955252291273.6,65186.5977244157,,
USA,2024,,,22568462768174.3,66356.1706750101,,
ZAF,2015,89.7330315835853,2257.19467617813,346709790458.563,6112.27382485974,1.17749294025756,7.6
ZAF,2016,89.4396372657242,2311.76901865151,349013858372.625,6095.295060428,1.52918135526831,7.8
ZAF,2017,88.6714432415907,2283.45815447669,353055253707.071,6125.6920507497,2.10801774753659,7.9
ZAF,2018,88.2619531429775,2184.87777550689,358551560868.533,6117.2701406047,2.6560763191457,8.0
ZAF,2019,86.9816302054678,2231.91074710296,359483563936.676,6032.82972598668,2.94907438559548,8.7
ZAF,2020,87.064599763695,2037.46194166103,337307318679.639,5569.58483319272,3.40421090426309,9.8
ZAF,2021,83.1709379710998,2124.62297436572,353695896167.047,5750.90937479584,3.67059683870362,9.7
ZAF,2022,82.7050466220564,1938.30644693274,360975440918.611,5786.86505344736,,
ZAF,2023,81.599065017073,1938.50916018053,363885280375.697,5756.55049453121,,
ZAF,2024,,,365831497261.341,5715.47531469148,,
